,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
18,16.31,88.25,72.04,66.15,36.11,47.3,21.09,71.95,40.11,36.2,47.75,132.3,247.24725,41.005,36.09,74.92,75.09,67.55,17.32,29.366667,25.06,57.73,57.71994,36.62,49.7,36.35,51.52,71.17,37.29,34.640003,59.4,85.75,15.22,67.0,12.347143,26.02,30.57,45.76,23.915,64.41,123.0,52.02,35.511982,53.2575,41.41,10.964,40.7,64.68,73.45,142.35
19,16.4,87.54,73.08,66.39,36.44,46.18,20.96,72.99,39.97,36.0,47.2,130.9,248.4935,41.005,35.48,74.21,75.53,66.84,17.11,28.98,24.88,57.31,58.40994,37.08,50.07,36.26,52.0,72.3,36.95,35.14,59.3,89.3,15.13,67.29,12.122857,26.01,30.41,44.9,23.9,64.5,122.89,52.5,35.8854,53.2525,41.08,11.105,40.29,65.1,74.39,142.63
20,17.165,87.48,73.43,66.8,37.25,46.9,20.98,73.25,40.77,36.18,47.51,133.0,253.25325,41.75,35.93,74.75,76.29,69.16,17.22,29.24,25.8,58.15,59.249935,37.7,50.96,36.26,52.76,72.85,37.95,35.09,60.85,89.95,15.67,68.7,12.318571,26.39,30.84,44.9,23.995,64.9,122.7,52.27,36.19347,54.6425,41.5,11.214,41.8,65.0,74.58,144.15
21,17.0,87.48,73.68,67.0,37.01,47.39,21.14,73.8,40.9,36.26,47.75,131.65,241.54654,42.895,35.87,73.87,76.7,67.66,17.14,28.68,25.62,58.25,59.339935,37.75,51.22,36.52,52.83,73.57,37.23,35.02,60.89,91.05,15.81,68.51,12.017143,26.67,30.82,45.12,24.05,65.58,124.44,52.85,35.661354,53.5275,41.61,11.249,41.47,64.65,75.0,144.73
22,16.995,86.63,72.82,66.38,37.0,47.0,21.22,74.05,40.67,36.27,48.44,130.0,238.98898,43.215,35.79,74.08,76.0,67.79,17.35,28.653334,25.43,58.43,59.999935,37.67,50.81,36.3,52.74,74.18,37.25,35.4,60.87,90.45,16.01,68.75,12.042857,26.73,29.97,44.61,24.055,65.12,124.18,51.95,35.493313,53.065,41.57,11.05,41.35,65.0,75.65,144.7
23,17.085,86.87,72.49,66.39,36.72,48.27,21.37,74.15,41.09,36.4,48.61,133.49,234.28429,43.41,35.79,73.91,76.68,68.09,17.13,28.526667,25.91,59.04,60.539936,37.7,50.85,36.42,52.77,73.7,37.2,35.410004,62.73,91.0,16.4,68.48,12.064285,26.77,29.59,44.74,24.0,65.15,123.45,51.8,35.521317,53.5,41.15,11.074,41.67,64.84,75.86,144.97
24,17.425,86.02,72.36,66.0,37.18,48.65,21.38,73.87,41.22,36.32,48.39,133.1,237.14714,43.575,35.91,74.3,77.0,67.75,17.12,28.313334,27.1,59.36,60.179935,37.44,50.84,36.43,53.35,74.16,38.49,35.350002,63.14,90.59,17.12,68.84,12.068571,26.56,29.64,44.88,24.015,64.82,124.6,51.39,35.549324,53.75,41.75,11.05,43.65,64.4,75.4,145.12
25,16.79,85.6,72.08,65.76,35.92,49.15,21.3,72.46,41.22,36.06,48.36,132.41,234.25926,43.565,35.81,74.88,76.85,66.57,16.87,28.393333,27.3,58.68,59.999935,37.08,51.06,36.5,53.35,73.92,38.95,36.040005,62.83,89.64,17.7,68.31,12.204286,26.35,29.24,44.02,23.975,64.11,123.75,51.28,35.511982,52.8975,41.68,11.2,43.19,63.25,74.28,144.78
26,16.775,85.05,72.56,65.86,36.14,49.4,21.42,73.93,41.22,35.71,48.37,133.48,236.06107,43.745,35.42,74.64,77.25,66.53,16.79,27.753334,27.57,58.54,60.56994,37.49,51.02,36.44,53.32,74.12,39.19,35.200005,63.63,89.35,17.7,68.68,12.268572,26.41,29.35,44.06,23.86,64.59,124.45,51.28,35.46531,52.7825,41.58,11.803,43.63,62.56,75.46,145.06
27,16.685,85.26,72.94,65.72,35.76,48.29,20.93,73.1,41.62,35.55,48.15,132.47,230.57057,43.74,35.48,74.55,77.75,65.88,16.65,27.233334,27.3,58.7,60.719936,36.75,50.59,36.39,53.2,73.95,38.79,34.530003,64.06,89.55,17.77,67.69,12.061429,26.42,28.89,44.0,23.925,64.36,122.67,51.45,35.19458,52.7475,41.92,10.197,43.91,63.99,74.93,143.94
28,16.75,85.71,72.6,65.41,35.46,46.56,20.89,72.73,41.29,35.64,47.8,134.05,229.80481,43.945,35.6,76.0,77.21,66.14,16.71,26.713333,27.96,58.88,60.689934,36.9,50.35,36.32,53.09,73.9,38.85,34.070004,63.55,89.2,17.94,67.84,12.165714,26.22,29.04,44.1,24.05,64.16,121.95,51.94,35.07322,53.5425,42.5,10.4,44.6,63.79,74.8,143.77
29,17.575,86.03,72.4,65.56,35.1,46.89,20.96,72.64,41.72,35.93,48.08,134.82,230.23022,43.5,35.88,76.43,77.41,66.84,16.74,27.353333,27.48,59.03,60.719936,37.25,51.09,36.46,53.76,74.51,39.23,34.580006,63.63,89.27,17.97,69.98,12.09,26.32,29.17,44.14,24.25,64.85,121.95,51.71,35.567993,54.94,42.75,10.421,45.41,63.8,75.9,144.8
30,18.175,86.38,72.1,65.75,35.42,48.17,21.21,72.06,41.57,36.36,47.9,137.08,233.23323,43.45,36.22,76.9,77.9,66.69,16.84,27.513334,27.71,59.78,60.65994,37.31,51.05,36.52,54.08,75.0,40.14,34.700005,63.32,90.02,18.76,70.55,12.205714,26.58,29.58,43.91,23.995,64.8,122.25,52.1,35.96942,55.5775,43.0,10.8,45.68,63.26,75.19,145.67
31,17.98,85.99,71.8,65.65,36.15,48.04,21.26,71.01,41.5,36.07,48.35,137.02,231.63164,43.28,36.27,76.91,77.56,66.24,16.89,27.42,27.08,59.92,59.96994,37.02,51.16,36.21,53.64,74.2,39.9,34.68,62.62,91.98,18.22,69.8,12.178572,26.42,28.91,44.07,24.0,64.89,121.7,53.51,35.857395,54.655,43.5,10.801,45.1,64.27,75.26,145.44
32,17.95,86.2,72.4,65.4,36.34,48.78,21.06,70.65,40.74,35.86,49.81,136.5,234.46947,43.18,35.77,76.5,76.55,65.4,16.69,27.593334,26.85,58.57,59.87994,37.51,51.15,36.47,53.87,74.0,40.13,34.82,63.43,91.5,18.22,69.5,12.092857,26.19,28.63,44.39,23.76,64.75,122.33,54.55,35.98809,55.0,43.26,10.832,45.58,64.42,74.9,145.56
33,18.01,86.0,72.48,65.26,36.15,49.57,20.97,70.12,40.89,35.99,49.91,135.37,235.15515,42.61,35.94,76.1,75.72,65.17,16.97,27.46,27.14,58.2,59.519936,37.5,51.45,36.39,53.75,73.77,41.19,34.83,63.28,90.3,18.25,68.66,12.282857,26.2,28.75,44.45,23.775,64.75,121.0,53.83,35.670685,54.5375,43.13,10.765,45.06,64.41,74.72,145.61
34,18.745,85.37,71.92,64.97,36.82,50.99,21.0,70.02,41.17,35.82,50.09,135.85,239.58458,42.575,36.13,76.25,76.51,65.74,17.26,27.86,26.68,57.7,59.78994,37.16,51.8,36.36,53.85,73.77,41.4,35.070004,63.53,91.1,17.98,69.24,12.971429,26.09,29.31,43.85,23.845,64.48,121.35,53.82,35.941414,56.6975,43.1,10.79,46.0,64.91,74.62,146.05
35,18.57,84.84,71.5,64.61,36.67,50.73,20.83,71.19,41.42,35.33,49.66,135.8,238.11311,42.65,36.17,76.49,77.01,66.53,17.24,27.27,26.51,58.4,59.369938,36.98,51.55,36.22,53.28,73.4,41.0,35.100002,64.99,90.21,18.1,69.77,12.737143,25.9,29.22,43.2,23.835,64.78,121.5,54.08,35.8854,57.215,42.84,10.59,46.3,64.43,75.29,145.74
36,18.53,85.22,71.46,64.25,37.0,49.77,20.81,71.42,41.0,35.26,49.71,136.9,236.65166,43.49,35.75,76.45,77.75,67.57,16.91,27.19,26.37,57.49,60.899937,37.0,51.17,36.89,53.09,73.48,40.86,35.14,67.6,90.48,18.42,70.84,12.834286,25.71,28.96,44.34,23.85,64.66,120.75,53.17,35.8854,57.4125,46.42,10.482,46.53,64.85,75.52,145.83
37,17.285,85.24,70.9,64.0,36.12,46.65,20.49,70.71,40.49,35.3,49.6,138.0,227.72772,43.5,35.15,76.13,77.05,66.73,16.65,26.29,26.9,56.43,59.099937,37.32,50.61,36.24,52.2,72.6,40.19,34.750004,68.9,88.0,18.54,69.65,12.328571,25.55,28.71,44.28,23.735,64.31,117.5,53.22,35.80138,55.2075,44.01,10.175,44.69,64.39,74.89,143.88
38,17.025,83.03,70.28,63.27,35.44,46.17,20.05,68.59,39.29,34.8,48.5,135.15,225.43044,42.585,34.5,74.25,75.67,66.4,16.37,25.16,26.42,55.93,58.82994,36.7,49.07,35.5,50.87,70.4,38.91,33.500004,65.96,87.4,18.27,68.42,11.857142,25.33,27.95,44.26,23.375,62.5,116.51,52.02,34.550434,54.02,43.77,10.3,43.15,62.57,72.23,140.39
39,16.385,83.34,70.28,62.35,35.32,44.64,19.52,67.32,39.17,34.61,47.78,130.51,221.55655,42.76,34.5,74.0,74.16,64.11,16.11,25.11,26.07,54.7,58.919937,36.17,48.98,35.7,50.25,69.4,39.32,33.730003,65.5,86.6,17.7,66.12,12.004286,24.85,27.82,43.95,23.21,62.75,113.2,52.06,34.541096,52.455,43.24,10.527,41.77,62.75,70.9,139.34
40,16.705,83.79,71.52,62.3,35.5,45.43,19.51,67.58,39.31,34.93,47.85,130.1,222.77777,42.725,34.6,73.25,73.3,64.13,16.63,25.25,25.5,55.0,59.339935,36.65,48.95,35.8,50.1,69.95,38.32,34.11,65.51,87.87,17.55,65.99,12.395715,24.98,28.02,44.25,23.225,63.35,114.2,53.99,34.49442,52.4,43.01,10.54,42.03,63.41,70.95,140.05
41,15.695,83.0,71.0,61.45,34.81,42.71,18.98,66.2,38.75,34.74,47.65,128.3,218.72873,42.365,34.0,73.01,71.93,62.2,16.52,25.35,25.52,54.59,58.349937,36.04,47.6,35.35,49.6,69.27,37.15,33.55,63.99,86.96,17.48,64.31,12.27,24.78,27.49,43.94,22.95,62.84,109.0,53.9,33.878284,50.65,41.65,10.115,40.37,62.93,69.35,137.93
42,16.505,83.35,71.76,62.15,35.27,44.46,19.34,67.28,39.02,34.73,47.84,132.45,223.95895,42.06,34.45,73.62,72.0,63.25,16.52,25.51,25.54,56.2,57.56994,36.05,47.97,35.31,50.1,70.0,37.69,33.850002,64.15,88.03,17.56,65.07,12.542857,24.97,27.8,44.25,23.345,63.0,113.0,54.41,34.11167,52.36,42.18,10.278,41.91,62.96,70.7,138.78
43,17.275,84.5,71.44,61.65,35.98,43.46,19.36,67.8,38.71,34.74,48.05,133.24,231.57658,42.1,34.52,73.5,73.25,63.45,16.77,25.59,25.6,56.28,58.439938,35.78,48.69,35.36,51.03,69.91,38.68,34.390003,64.8,87.82,17.7,64.61,12.578571,25.35,27.76,44.26,23.38,62.8,112.05,53.81,33.896954,52.5325,42.43,10.399,42.21,63.1,71.0,139.59
44,17.315,85.64,72.08,62.0,35.9,43.83,19.28,68.95,38.77,34.6,48.05,134.98,229.83984,42.56,34.62,74.03,73.83,64.85,16.7,26.01,26.08,56.51,59.099937,35.94,48.79,35.59,50.88,70.09,38.77,34.620003,64.9,88.98,18.04,66.29,12.655714,25.43,27.72,43.98,23.45,62.29,114.23,54.17,33.70091,53.2475,42.48,10.12,42.97,63.0,72.15,140.54
45,17.475,86.0,72.8,62.18,35.96,43.5,19.36,68.83,39.15,34.57,47.78,134.3,229.22923,42.41,34.78,74.59,74.7,64.85,16.81,26.42,25.97,56.16,58.349937,36.89,49.12,35.74,51.15,70.95,38.48,34.870003,65.1,89.7,18.04,66.35,12.685715,25.38,27.42,44.53,23.615,62.4,115.0,53.5,34.261036,53.115,42.91,10.37,43.23,63.15,71.95,141.31
46,17.635,86.36,73.08,62.25,36.41,44.41,19.11,68.47,38.41,34.28,47.53,133.14,226.5115,42.25,34.21,74.61,74.23,64.53,16.61,25.86,25.94,56.28,57.83994,36.38,48.64,35.28,50.95,70.88,38.64,34.180004,64.5,89.0,18.16,65.7,12.581429,25.41,27.18,44.43,23.785,62.09,113.75,53.4,34.02765,52.5125,43.62,10.201,43.0,62.82,70.8,140.42
47,17.65,84.5,72.46,61.4,36.48,44.03,19.29,68.83,38.03,34.27,46.98,133.4,225.28027,42.765,34.26,74.75,74.21,64.26,16.93,25.88,25.96,56.45,58.619938,36.73,48.45,35.29,51.08,70.5,38.3,33.99,66.12,90.9,18.02,65.48,12.772857,25.34,27.25,43.95,23.675,61.75,112.16,53.27,33.999645,52.235,43.55,10.251,43.05,63.49,70.37,140.18
48,17.005,83.87,72.0,60.99,35.67,42.75,19.19,68.3,37.28,34.09,46.18,130.0,221.83684,42.385,33.48,74.78,72.72,63.56,16.74,25.68,25.38,56.44,58.04994,37.26,46.72,35.15,49.52,70.12,37.76,34.460003,64.95,89.45,17.52,65.08,12.657143,24.92,26.82,43.65,23.625,61.35,110.11,52.9,33.8036,50.66,43.55,10.371,42.19,62.91,70.1,138.43
49,17.63,83.39,71.58,60.7,36.13,43.69,19.21,68.2,37.46,34.2,45.75,130.48,224.15416,42.35,33.62,75.8,72.92,62.9,16.85,25.92,25.05,56.12,58.259937,37.12,47.14,35.24,49.63,70.3,38.1,33.960003,65.46,89.98,17.61,64.1,12.851429,24.78,27.32,43.16,23.475,61.56,110.99,53.37,33.6729,51.81,45.28,10.55,43.26,62.73,70.71,138.97
50,18.145,84.69,71.0,60.57,36.29,44.56,19.15,69.24,37.6,34.6,46.22,130.03,223.04805,42.83,34.13,76.23,74.05,63.38,16.71,25.72,25.42,57.1,59.30994,37.11,47.62,35.72,50.27,69.7,37.72,33.9,66.64,91.04,17.79,65.64,12.791429,25.07,27.35,43.29,23.625,62.14,111.58,54.31,34.21436,52.8975,45.87,10.534,44.1,63.77,70.77,139.31
51,18.1,83.99,70.72,60.65,36.37,46.08,19.2,68.58,37.65,34.5,46.5,130.46,221.84685,42.7,34.09,75.54,74.34,63.18,16.83,25.5,25.82,56.75,58.88994,37.17,47.2,35.46,49.8,69.65,38.0,33.870003,66.19,90.5,18.35,65.61,12.891429,25.05,27.34,43.34,23.67,61.72,111.1,53.54,34.02765,53.3525,45.36,10.552,45.09,62.81,70.12,139.26
52,18.25,85.22,71.84,60.66,36.07,46.6,19.04,69.39,37.65,34.63,46.48,131.45,223.11812,43.15,34.25,76.49,75.1,63.12,17.25,25.9,25.5,56.48,58.94994,37.49,47.51,35.82,50.37,69.28,38.53,34.05,66.55,90.32,18.03,65.77,13.05,25.23,27.93,43.29,23.71,61.98,110.39,54.3,34.233032,53.615,45.4,10.7,45.58,62.69,71.12,140.08
53,18.32,85.64,72.0,61.07,36.5,47.3,19.05,70.38,37.89,34.75,47.22,131.98,222.87288,43.845,34.66,76.25,76.88,64.16,18.31,26.28,25.64,56.75,60.629936,37.71,47.81,36.21,50.78,69.7,38.55,34.31,67.85,90.16,18.13,66.53,13.141429,25.47,27.9,43.5,23.85,62.34,110.0,54.05,34.223694,54.8225,45.4,10.726,46.53,63.22,72.44,141.1
54,18.555,85.85,72.94,61.22,37.36,46.49,19.24,71.55,38.61,35.44,47.62,132.76,228.03304,44.33,35.05,77.09,77.18,64.49,18.01,26.91,25.94,57.28,61.259933,38.57,49.06,36.99,51.98,70.71,39.48,34.45,68.6,90.4,18.46,67.59,13.39,25.67,28.52,43.8,23.955,63.5,111.01,55.34,35.017204,56.765,45.47,11.1,47.49,63.77,73.53,143.48
55,18.375,86.2,71.9,61.25,37.28,45.6,19.19,73.39,38.35,35.79,48.01,133.6,230.95596,44.31,35.02,77.59,76.76,65.73,18.46,26.8,25.97,57.32,60.839935,39.33,48.59,35.98,51.7,71.13,39.56,35.06,67.25,89.79,18.39,68.5,13.335714,25.62,28.22,44.32,24.065,63.53,111.75,55.46,35.549324,56.7425,45.14,10.95,47.52,63.85,74.66,143.28
56,18.6,85.21,72.26,60.8,37.05,46.09,19.26,74.14,38.15,35.85,47.84,132.75,230.50551,44.425,34.84,77.66,76.33,66.98,18.22,26.44,26.05,56.95,60.989937,39.0,48.55,36.8,51.7,71.25,38.98,34.89,67.37,90.88,18.46,69.14,13.427143,25.53,27.94,44.26,23.975,63.6,114.39,56.47,35.502647,57.2575,45.63,10.87,48.23,64.02,75.44,143.5
57,18.625,84.76,72.2,60.1,37.05,45.36,19.25,74.01,37.73,35.8,47.57,131.5,232.007,44.525,34.5,77.44,76.79,66.3,18.35,26.29,25.05,56.8,61.289936,39.1,48.59,36.88,51.56,71.03,38.82,35.000004,67.86,90.6,18.35,68.81,13.672857,25.5,28.04,43.84,24.0,63.55,115.05,56.0,35.185246,56.5625,47.0,10.836,48.4,63.5,75.37,143.12
58,18.28,85.09,71.8,60.0,36.97,44.51,18.98,74.47,37.18,35.7,47.17,130.56,231.16617,44.435,34.32,76.74,77.16,67.15,18.34,25.8,25.61,56.71,60.809937,39.51,48.29,36.68,51.44,70.6,39.09,34.590004,67.91,90.28,18.16,69.71,13.554286,25.45,27.58,43.41,23.895,63.48,115.5,55.98,35.026543,55.8975,46.62,10.66,47.99,62.75,76.16,142.14
59,18.23,86.65,72.24,60.38,37.2,45.33,19.01,74.36,36.97,35.6,46.93,129.78,232.5075,44.485,34.5,76.38,77.51,67.29,18.33,26.03,26.06,56.65,61.499935,39.28,48.24,36.8,51.02,71.49,39.65,34.690002,69.35,90.11,18.41,70.12,13.455714,25.18,27.84,43.68,23.805,63.49,117.0,53.74,35.12923,56.25,46.35,10.74,48.39,62.97,75.83,142.54
60,18.48,86.7,72.14,60.43,37.78,45.31,19.08,74.81,36.77,35.56,46.86,128.5,231.28128,44.565,34.5,75.98,77.75,66.94,18.18,25.9,26.36,57.01,61.40994,39.27,48.61,36.91,51.17,70.16,39.75,34.420002,69.11,89.62,18.56,69.89,13.468572,25.35,27.75,44.08,24.13,63.11,118.49,52.84,35.101227,56.815,45.25,10.735,48.45,63.94,76.24,142.24
61,18.55,67.13,72.2,60.26,38.42,44.86,19.15,74.05,36.67,35.36,47.06,126.88,229.10912,44.385,34.42,76.44,79.4,67.17,18.08,25.95,26.26,55.09,61.589935,39.72,48.38,36.66,51.2,70.09,39.85,34.4,68.86,88.9,18.41,70.19,13.448571,25.23,27.89,44.59,24.1,63.22,118.1,53.4,34.914516,57.1,45.77,10.71,48.46,63.15,75.35,142.16
62,19.105,68.81,72.16,60.55,39.12,45.79,19.22,74.61,36.89,35.43,47.51,125.7,232.25726,45.01,34.1,76.53,80.01,66.84,18.23,25.96,26.32,55.28,62.129936,39.7,48.25,37.11,50.6,70.0,40.42,34.57,71.0,89.32,18.47,70.18,13.448571,25.45,27.86,45.29,24.265,63.22,118.35,54.08,35.53065,58.9975,45.75,10.875,49.28,63.7,76.1,142.97
63,19.51,70.2,72.36,60.71,38.84,45.84,19.35,75.12,37.61,35.37,48.0,127.65,236.3063,45.03,34.55,77.5,80.08,66.51,18.35,26.31,26.39,54.99,62.219936,39.74,48.56,37.1,50.94,69.8,41.22,34.84,71.52,89.91,18.65,69.94,13.562857,25.55,28.01,45.23,24.505,63.1,118.45,54.61,35.57733,59.1675,45.64,10.889,49.13,63.45,76.59,143.69
64,19.84,70.71,72.6,61.34,40.1,45.56,19.29,75.56,37.94,35.13,47.89,125.78,235.88588,44.79,34.2,77.03,79.91,66.97,18.5,26.21,26.51,55.65,61.379936,38.9,48.35,37.0,50.73,69.75,41.57,34.620003,71.04,90.2,18.61,70.77,13.445714,25.74,28.32,45.25,24.67,62.81,118.11,54.82,35.00787,59.9025,44.6,10.755,49.63,63.63,77.1,143.67
65,20.175,71.1,72.66,61.6,40.34,45.7,19.88,75.32,38.24,35.1,48.27,126.75,236.72673,45.03,34.41,76.84,80.26,67.29,18.66,26.6,26.04,55.55,62.009933,39.45,48.78,37.22,50.9,70.24,41.72,34.910004,71.55,90.97,18.15,69.82,13.601429,25.93,28.58,45.46,24.8,63.03,118.65,55.15,35.48398,60.0,47.09,10.84,49.4,63.6,76.77,144.65
